Id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends
0,250.56681392141738,Entire home/apt,False,False,3.0,True,1,0,10.0,99.0,1,1.7328933810175517,0.2126270630273892,118.64683124356394,8.496978848776331,185.0967195072387,4.424871135625918,16.365,48.223,0
0,324.66166467989626,Entire home/apt,False,False,4.0,True,0,1,10.0,94.0,2,3.240612782278306,0.6104497999388476,92.47346734746486,6.622339573043594,129.86287970210918,3.138735697955992,16.33006,48.20921,1
1,150.76081621204685,Entire home/apt,False,False,2.0,True,0,1,10.0,96.0,1,2.241125849346171,1.1195048219502703,124.25800230428,8.89853824594947,154.35032224645815,3.7305877363668265,16.38867,48.19104,1
1,156.60425870088588,Entire home/apt,False,False,3.0,False,0,0,10.0,97.0,1,4.807911759774244,0.2282531034796721,80.14501548622435,5.739643396150462,85.72760015762569,2.049380369753787,16.333560000000002,48.17459,0
2,283.0563541593624,Entire home/apt,False,False,5.0,True,0,1,10.0,95.0,2,2.8117726717374003,0.2441628667465064,101.2481120067327,7.250956955046468,151.36428759095182,3.618472920043242,16.336,48.21100000000001,0
2,196.33966762499125,Entire home/apt,False,False,3.0,True,0,1,9.0,91.0,1,2.371551100164944,0.4524186732395443,125.41312749902326,8.98126069065055,206.6424939586824,4.9944693509845015,16.34236,48.20436,1
3,301.75537012364725,Entire home/apt,False,False,4.0,True,0,1,10.0,94.0,2,3.2405949044170126,0.6104299085746427,92.47393763063064,6.62258809506262,129.86383095833605,3.1044889325921967,16.33006,48.20921,0
3,107.75307949419162,Private room,False,True,2.0,False,0,0,8.0,92.0,1,3.6291140023478268,0.4731636571848503,62.459416002532606,4.472931254416767,93.81071388306057,2.2673687599637886,16.37837,48.24102,1
4,196.33966762499125,Entire home/apt,False,False,4.0,True,0,1,9.0,94.0,1,2.3950625111656105,0.4436345958866549,124.02035872411209,8.881519780757586,202.3180703392043,4.8899497005757375,16.34198,48.20456,1
4,150.76081621204685,Entire home/apt,False,False,2.0,True,0,1,10.0,96.0,1,2.2411456013369726,1.119506679321442,124.25676715983231,8.898738477111191,154.34897145936998,3.6898239495671095,16.38867,48.19104,0
5,212.23383119463338,Entire home/apt,False,False,2.0,True,1,0,10.0,97.0,1,2.0111432311325004,0.6790809433644299,145.34915298836881,10.408947294324964,237.9883052051576,5.7520855147904255,16.34682,48.2062,1
5,162.4477011897249,Private room,False,True,2.0,True,1,0,10.0,99.0,1,4.6119612975092545,0.19992633764054324,52.07794070250866,3.729599484445128,75.51554229541411,1.8052537305019518,16.39755,48.24682,0
6,122.9460299651731,Private room,False,True,2.0,False,0,0,10.0,94.0,1,2.284779589409915,0.301277594031435,96.58996696926904,6.917136114471648,150.80310108866618,3.644852769592287,16.36009,48.22697,1
6,196.33966762499125,Entire home/apt,False,False,3.0,True,0,1,9.0,91.0,1,2.3715467206497785,0.4524117796289551,125.41362450864231,8.981587654968383,206.64483048672,4.939994334752318,16.34236,48.20436,0
7,317.64953369328936,Entire home/apt,False,False,2.0,False,0,1,9.0,90.0,1,1.3833701433445895,0.13483276112736628,128.35038000287642,9.191607334398643,210.45988946397802,5.086734327497983,16.38027,48.22016,1
7,107.75307949419162,Private room,False,True,2.0,False,0,0,8.0,92.0,1,3.629103159217296,0.4731590304161422,62.45957929924546,4.473088060141057,93.81093258836715,2.2426182858426134,16.37837,48.24102,0
8,317.64953369328936,Entire home/apt,False,False,2.0,False,0,1,10.0,100.0,1,1.5903121524738029,0.3169750965031816,116.12355252470026,8.31600262545807,184.80941955823886,4.46677236648826,16.38168,48.22179000000001,1
8,196.33966762499125,Entire home/apt,False,False,4.0,True,0,1,9.0,86.0,1,2.3013454421702315,0.5043177160124774,129.36018985701875,9.264223793995377,217.61174635409665,5.202166401321521,16.3434,48.20412,0
9,212.23383119463338,Entire home/apt,False,False,2.0,True,1,0,10.0,97.0,1,2.01113664380809,0.6790798907984312,145.3493808827143,10.409301302854251,237.9890637067522,5.689300930854491,16.34682,48.2062,0
9,341.95825444685977,Entire home/apt,False,False,4.0,False,0,1,10.0,100.0,1,1.4124170366829365,0.13297313525533502,126.06452659163463,9.02790959560224,206.49277053520203,4.990850593606135,16.38157,48.22008,1
10,235.6076011499895,Entire home/apt,False,False,2.0,True,1,0,10.0,97.0,1,1.8900614311022708,0.6847805887567694,155.41143542575918,11.129902634818807,265.4238561331813,6.345149513383513,16.34843,48.20637,0
10,341.95825444685977,Entire home/apt,False,False,4.0,False,0,1,10.0,87.0,1,1.2701136347462454,0.04471530143560019,140.570392339431,10.066723987863947,231.50241397788886,5.595324026251238,16.38021,48.21908,1
11,251.5017647196316,Entire home/apt,False,False,2.0,False,0,1,9.0,90.0,1,1.3833728671018028,0.1348377746547809,128.35016134068894,9.191889869439924,210.45946950874958,5.031186043316072,16.38027,48.22016,0
11,341.95825444685977,Entire home/apt,False,False,4.0,False,0,1,10.0,100.0,1,1.4047848477299814,0.16536890643801436,126.70181084881544,9.073547689172893,207.29729416989971,5.0102956194508375,16.38009,48.22041,1
12,251.5017647196316,Entire home/apt,False,False,2.0,False,0,1,10.0,100.0,1,1.5902929645780357,0.316954029275263,116.12453354596515,8.316342670277661,184.8113321421513,4.4180487439724665,16.38168,48.22179000000001,0
