Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends
37,146.81050656660412,Private room,True,10.0,1,-9.133,38.709,1
37,198.40525328330205,Entire home/apt,False,9.0,1,-9.12843,38.71275,0
38,234.52157598499062,Entire home/apt,False,9.0,1,-9.12937,38.71188,0
38,86.7729831144465,Private room,False,10.0,1,-9.12,38.777,1
39,134.1463414634146,Private room,False,9.0,1,-9.19212,38.69993,1
39,252.1106941838649,Entire home/apt,True,10.0,0,-9.13202,38.71272,0
40,210.13133208255158,Entire home/apt,True,9.0,2,-9.2,38.705,0
40,107.87992495309568,Private room,False,10.0,1,-9.14703,38.74751,1
41,272.98311444652904,Private room,False,9.0,1,-9.13456,38.70888,0
41,325.04690431519697,Entire home/apt,True,10.0,2,-9.129,38.711,1
42,647.2795497185741,Entire home/apt,False,10.0,2,-9.13398,38.70999000000001,0
42,273.92120075046904,Entire home/apt,False,9.0,2,-9.17798,38.70599,1
43,182.22326454033768,Entire home/apt,False,9.0,1,-9.13094,38.71459,0
43,237.1013133208255,Entire home/apt,True,10.0,0,-9.135,38.714,1
44,188.08630393996248,Private room,True,9.0,1,-9.1308,38.71425,0
44,247.42026266416508,Entire home/apt,False,9.0,2,-9.176,38.704,1
45,136.02251407129455,Private room,True,10.0,1,-9.133,38.709,0
45,174.48405253283298,Entire home/apt,False,10.0,1,-9.129,38.712,1
46,297.3733583489681,Entire home/apt,False,10.0,1,-9.12828,38.71308,1
46,82.3170731707317,Private room,False,10.0,1,-9.12,38.777,0
47,275.3283302063789,Entire home/apt,True,10.0,2,-9.1353,38.74519,0
47,262.66416510318953,Entire home/apt,False,10.0,2,-9.18317,38.75517,1
48,118.43339587242028,Private room,False,9.0,1,-9.14679,38.74828,0
48,211.53846153846152,Entire home/apt,False,9.0,1,-9.20016,38.70448,1
49,261.4915572232645,Entire home/apt,False,9.0,2,-9.20216,38.70477,1
49,108.3489681050657,Private room,False,10.0,1,-9.14703,38.74751,0
50,210.36585365853657,Entire home/apt,False,9.0,1,-9.12889,38.70877,1
50,118.43339587242028,Private room,False,9.0,1,-9.14826,38.74766,0
51,181.51969981238273,Entire home/apt,False,9.0,1,-9.17581,38.70395,1
51,314.7279549718574,Entire home/apt,True,10.0,2,-9.129,38.711,0
52,162.05440900562854,Private room,False,9.0,1,-9.133,38.709,1
52,275.3283302063789,Entire home/apt,False,9.0,2,-9.17798,38.70599,0
53,162.05440900562854,Private room,False,10.0,1,-9.133,38.709,1
53,238.03939962476542,Entire home/apt,True,10.0,0,-9.135,38.714,0
54,227.72045028142585,Entire home/apt,False,9.0,1,-9.197,38.702,1
54,321.7636022514071,Entire home/apt,False,10.0,2,-9.18561,38.70411,0
55,227.72045028142585,Entire home/apt,False,9.0,0,-9.133,38.709,1
55,211.30393996247653,Entire home/apt,True,10.0,2,-9.1284,38.71454,0
56,187.3827392120075,Entire home/apt,False,9.0,1,-9.19693,38.70357,1
56,275.3283302063789,Entire home/apt,False,10.0,1,-9.12828,38.71308,0
57,138.60225140712944,Private room,False,10.0,1,-9.136,38.711,1
57,263.83677298311443,Entire home/apt,False,10.0,2,-9.18317,38.75517,0
58,313.32082551594743,Entire home/apt,False,9.0,3,-9.16096,38.76455,1
58,240.38461538461536,Entire home/apt,False,10.0,1,-9.13,38.71,0
59,79.73733583489681,Private room,False,9.0,1,-9.119,38.777,1
59,199.812382739212,Entire home/apt,False,9.0,1,-9.20016,38.70448,0
60,857.4108818011258,Entire home/apt,False,10.0,1,-9.16116,38.7643,1
60,252.1106941838649,Entire home/apt,False,9.0,2,-9.20216,38.70477,0
61,211.53846153846152,Entire home/apt,False,9.0,1,-9.12889,38.70877,0
61,320.35647279549715,Entire home/apt,False,10.0,2,-9.12919,38.71165,1
62,146.81050656660412,Private room,False,10.0,1,-9.11247,38.76833,1
62,182.22326454033768,Entire home/apt,False,9.0,1,-9.17581,38.70395,0
63,303.00187617260787,Entire home/apt,False,8.0,2,-9.13189,38.71275,1
63,162.52345215759848,Private room,False,9.0,1,-9.133,38.709,0
64,105.30018761726078,Private room,False,9.0,2,-9.1935,38.70262,1
64,162.52345215759848,Private room,False,10.0,1,-9.133,38.709,0
65,228.89305816135087,Entire home/apt,False,9.0,1,-9.197,38.702,0
65,262.66416510318953,Entire home/apt,False,10.0,2,-9.1923,38.70003,1
66,228.89305816135087,Entire home/apt,False,9.0,0,-9.133,38.709,0
66,148.45215759849904,Private room,False,9.0,1,-9.12754,38.71103,1
67,188.08630393996248,Entire home/apt,False,9.0,1,-9.19693,38.70357,0
67,177.0637898686679,Entire home/apt,False,10.0,1,-9.132,38.713,1
68,158.53658536585363,Private room,False,10.0,2,-9.14165,38.7479,1
68,139.30581613508443,Private room,False,10.0,1,-9.136,38.711,0
69,196.52908067542214,Private room,False,9.0,1,-9.13504,38.74703,1
69,297.3733583489681,Entire home/apt,False,9.0,3,-9.16096,38.76455,0
70,77.86116322701689,Private room,False,10.0,1,-9.119,38.777,0
70,251.1726078799249,Entire home/apt,True,10.0,1,-9.13425,38.74568,1
71,79.9718574108818,Private room,False,10.0,1,-9.12,38.777,0
71,102.72045028142588,Private room,False,10.0,1,-9.155,38.789,1
72,181.51969981238273,Entire home/apt,False,9.0,1,-9.12855,38.71379,1
72,79.9718574108818,Private room,False,9.0,1,-9.119,38.777,0
73,265.94746716697927,Entire home/apt,True,10.0,1,-9.12945,38.71117,1
73,170.73170731707316,Entire home/apt,False,10.0,1,-9.15261,38.77381,0
74,87.00750469043152,Shared room,False,9.0,1,-9.204,38.703,0
74,336.53846153846155,Entire home/apt,False,9.0,2,-9.13358,38.71468,1
75,112.57035647279551,Private room,False,8.0,2,-9.204,38.703,0
75,245.3095684803002,Entire home/apt,False,10.0,2,-9.135,38.712,1
76,262.66416510318953,Entire home/apt,False,10.0,0,-9.12768,38.7114,1
76,860.9287054409006,Entire home/apt,False,10.0,1,-9.16116,38.7643,0
77,262.66416510318953,Entire home/apt,False,10.0,0,-9.12789,38.71117,1
77,321.7636022514071,Entire home/apt,False,10.0,2,-9.12919,38.71165,0
78,430.5816135084428,Entire home/apt,True,10.0,3,-9.19189,38.69944,1
78,147.5140712945591,Private room,False,10.0,1,-9.11247,38.76833,0
79,212.71106941838647,Entire home/apt,False,9.0,1,-9.177,38.704,1
79,304.4090056285178,Entire home/apt,False,8.0,2,-9.13189,38.71275,0
80,203.33020637898684,Private room,True,10.0,1,-9.19125,38.69844000000001,1
80,105.53470919324577,Private room,False,9.0,2,-9.1935,38.70262,0
81,208.25515947467167,Private room,True,10.0,1,-9.19163,38.69893,1
81,240.38461538461536,Entire home/apt,False,10.0,2,-9.1923,38.70003,0
82,227.72045028142585,Private room,True,10.0,3,-9.132,38.71,1
82,149.390243902439,Private room,False,9.0,1,-9.12754,38.71103,0
83,159.00562851782362,Private room,False,10.0,2,-9.14165,38.7479,0
83,337.94559099437146,Entire home/apt,True,10.0,1,-9.13447,38.71315,1
84,197.4671669793621,Private room,False,9.0,1,-9.13504,38.74703,0
84,218.57410881801124,Entire home/apt,False,9.0,1,-9.12981,38.71285,1
85,262.66416510318953,Entire home/apt,False,10.0,1,-9.129,38.71,1
85,252.1106941838649,Entire home/apt,True,10.0,1,-9.13425,38.74568,0
86,239.44652908067542,Entire home/apt,False,9.0,1,-9.13004,38.70942,1
86,227.4859287054409,Entire home/apt,True,10.0,1,-9.18239,38.70423,0
87,103.42401500938084,Private room,False,10.0,1,-9.155,38.789,0
87,196.52908067542214,Entire home/apt,False,10.0,0,-9.13475,38.71242,1
88,182.22326454033768,Entire home/apt,False,9.0,1,-9.12855,38.71379,0
88,158.53658536585363,Entire home/apt,False,10.0,1,-9.17652,38.70055,1
89,263.6022514071294,Entire home/apt,False,10.0,0,-9.12768,38.7114,0
89,208.25515947467167,Private room,True,10.0,1,-9.19277,38.70017,1
90,211.77298311444648,Entire home/apt,True,9.0,2,-9.11009,38.76907,1
90,263.6022514071294,Entire home/apt,False,10.0,0,-9.12789,38.71117,0
91,432.22326454033765,Entire home/apt,True,10.0,3,-9.19189,38.69944,0
91,262.66416510318953,Entire home/apt,False,9.0,1,-9.129,38.71,1
92,213.64915572232644,Entire home/apt,False,9.0,1,-9.177,38.704,0
92,262.66416510318953,Entire home/apt,False,9.0,0,-9.17174,38.70577,1
93,204.50281425891183,Private room,True,10.0,1,-9.19125,38.69844000000001,0
93,222.0919324577861,Entire home/apt,False,9.0,0,-9.12883,38.7114,1
94,208.9587242026266,Private room,False,10.0,1,-9.19163,38.69893,0
94,222.0919324577861,Entire home/apt,False,9.0,0,-9.12835,38.71238,1
