Id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends
0,296.15994034858795,Private room,False,True,2.0,True,0,0,10.0,97.0,1,0.6998206055056153,0.19370939031706733,518.4789465008673,25.239380398515987,1218.6622284510793,71.60802817745318,2.35385,48.86282,0
0,536.3966818902041,Entire home/apt,False,False,5.0,False,0,1,9.0,89.0,1,1.3512012181554818,0.2123455396063524,390.7767745322715,19.00154903950734,1030.7385067289783,47.550370701724404,2.359,48.868,1
1,290.101593811166,Private room,False,True,2.0,True,0,0,10.0,97.0,1,0.6998212418102902,0.1937103117171412,518.4782703866687,25.21104354900097,1218.6588664364251,56.21957507136384,2.35385,48.86282,1
1,288.2374871842669,Private room,False,True,2.0,True,0,0,10.0,97.0,1,2.1000054433997444,0.1072206891589171,873.2169615301826,42.507907430450906,1000.5433274192944,58.791462564378435,2.32436,48.85902,0
2,211.34308882468082,Private room,False,True,2.0,False,0,0,10.0,94.0,1,3.302325112770045,0.23472381656067035,444.5560767980152,21.64084001192558,902.854467379711,53.05131038847254,2.31714,48.87475,0
2,445.7544971572374,Entire home/apt,False,False,4.0,False,0,1,10.0,100.0,1,0.968981736277134,0.2943429303001096,432.6899421320988,21.039579857747377,1069.8947930987356,49.356741493181026,2.36023,48.86375,1
3,298.9561002889365,Entire home/apt,False,False,2.0,False,0,1,9.0,91.0,1,0.5475666761571238,0.195996522231078,542.1420139360312,26.391290547274238,1199.184165720548,70.46350623175964,2.356,48.861,0
3,211.34308882468082,Private room,False,True,2.0,False,0,0,10.0,94.0,1,3.3023186447838158,0.2347397125169524,444.55528405867483,21.616532970578138,902.8563701215022,41.65086955558847,2.31714,48.87475,1
4,266.334234318203,Entire home/apt,False,False,2.0,True,0,0,9.0,88.0,1,1.402429780168026,0.05505193093692785,1013.4586887386628,49.279502336421956,1348.0635108977754,62.18931305485025,2.33408,48.85384000000001,1
4,247.9261813775748,Entire home/apt,False,False,4.0,False,0,0,7.0,82.0,1,1.1979209303289824,0.10357285151849052,406.92895839400103,19.809164567612573,1070.7754966319856,62.91827230257647,2.35915,48.86648,0
5,345.09273930468817,Entire home/apt,False,False,2.0,False,0,1,9.0,91.0,1,0.5475705325797227,0.19600550679832332,542.1393544367173,26.361565479182314,1199.1796203921867,55.32095203133303,2.356,48.861,1
5,527.0761487557088,Entire home/apt,False,False,4.0,True,0,0,10.0,93.0,1,1.5432014736898958,0.5491302602196696,967.4781120214543,47.096508472223384,1095.8704340298427,64.39283920252969,2.33201,48.85891,0
6,387.03513840991707,Entire home/apt,False,False,2.0,True,0,1,10.0,96.0,1,0.8824168969642899,0.15432821813346173,753.3632595046546,36.63234320201035,1422.2200729570295,65.6103281744592,2.342,48.853,1
6,193.63407586913968,Private room,False,True,2.0,False,0,0,10.0,90.0,1,3.9981755450888623,0.4158379046163727,422.89562933657686,20.586416728644977,803.4340486048402,47.209412623171524,2.3067,48.87582,0
7,247.9261813775748,Entire home/apt,False,False,4.0,False,0,0,7.0,82.0,1,1.1979198573657852,0.1036045915111318,406.93222746239064,19.787109111429587,1070.7695448139978,49.397095829475965,2.35915,48.86648,1
7,207.1488489141579,Entire home/apt,False,False,2.0,False,0,0,10.0,95.0,1,1.4252792256271227,0.20738651517980095,374.3677619299375,18.224096496220906,1018.1593595624597,59.82657245507063,2.36075,48.86825,0
8,527.0761487557088,Entire home/apt,False,False,4.0,True,0,0,10.0,93.0,1,1.5432028946771832,0.549118407065965,967.4872288028367,47.04413675863425,1095.8700199067619,50.55503927260783,2.33201,48.85891,1
8,345.09273930468817,Entire home/apt,False,False,2.0,False,0,1,9.0,94.0,0,1.771036454085218,0.21069260132939968,623.1921299793488,30.336782883977513,1358.637365109162,79.83290238455365,2.33543,48.86767,0
9,741.4484108491007,Entire home/apt,False,False,3.0,False,0,1,10.0,91.0,1,0.9738332882504028,0.15501682345607856,650.5867551852117,31.670344007552252,1372.5891746104855,80.65270424972431,2.3446700000000003,48.86352,0
9,193.63407586913968,Private room,False,True,2.0,False,0,0,10.0,90.0,1,3.9981751505870373,0.4158374592121119,422.8955395427495,20.563326320579122,803.4337441981737,37.06427199672167,2.3067,48.87582,1
10,350.9180725137478,Private room,False,True,2.0,True,0,0,10.0,99.0,1,1.1022187867983728,0.22463004542312,406.4556296155283,19.78612308217896,1059.3377666963713,62.24619658840869,2.36172,48.86452,0
10,207.1488489141579,Entire home/apt,False,False,2.0,False,0,0,10.0,95.0,1,1.4252839411318254,0.2073953576464992,374.3678824491595,18.20366547036629,1018.1555138423796,46.96988789993824,2.36075,48.86825,1
11,345.09273930468817,Entire home/apt,False,False,2.0,False,0,1,9.0,94.0,0,1.7710303604787752,0.21066950159068326,623.1990891216973,30.303100964728166,1358.6482035053086,62.67760960530053,2.33543,48.86767,1
11,239.3046882281667,Entire home/apt,False,False,2.0,False,0,1,9.0,89.0,0,1.326515258235181,0.16425000350879965,479.00679281672285,23.317889258506614,1219.4940978094967,71.65690843571248,2.3484,48.86815,0
12,242.7998881536024,Private room,False,True,2.0,True,1,0,10.0,99.0,1,0.6754932746879329,0.21408645026409864,734.7932167974742,35.76948618292576,1189.7942751427022,69.91176060989342,2.35093,48.85061,0
12,263.7710877062168,Entire home/apt,False,False,2.0,False,0,1,9.0,89.0,0,1.3265047873282738,0.16425390665111864,479.00729788843245,23.291764644925927,1219.4972824358456,56.25825315636254,2.3484,48.86815,1
