Id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends
0,185.79975694119844,Private room,False,True,2.0,True,0,0,10.0,98.0,1,3.582210844251585,0.17470559602907046,105.06370826819216,16.019041940443486,148.94111443361328,30.71063800383613,13.42344,52.4915,0
0,185.79975694119844,Private room,False,True,2.0,True,0,0,10.0,98.0,1,3.582221524356481,0.17470759357932852,105.06361340458744,16.013858475281985,148.94076823105078,31.51133915017101,13.42344,52.4915,1
1,194.91446199869117,Private room,False,True,5.0,False,0,1,9.0,86.0,1,3.5254103004986552,0.5119217798128007,75.33952911059728,11.487002472016279,106.44235564569016,21.947684928646137,13.468,52.519,0
1,387.4918201364868,Entire home/apt,False,False,6.0,False,0,1,10.0,93.0,2,6.082132067432247,0.4809558874098264,52.877460911528814,8.059614057900893,66.88491977140818,14.150815898030446,13.503,52.50899999999999,1
2,176.21763111152657,Private room,False,True,2.0,False,0,0,9.0,91.0,1,3.8017128175903463,0.28139653030634343,73.66917597520657,11.232324073811712,105.44020460779801,21.741048246310896,13.47096,52.51527,0
2,194.91446199869117,Private room,False,True,5.0,False,0,1,9.0,86.0,1,3.5253975104764623,0.5119276963204191,75.33976155246434,11.483331288222908,106.443167553486,22.520138662055782,13.468,52.519,1
3,207.7685332336169,Private room,False,True,3.0,True,0,0,10.0,97.0,1,0.9824081724298934,0.7055730839088616,133.1874088775923,20.307056774571034,198.2333620492528,40.874361960622394,13.42281,52.53139,0
3,171.77713377582498,Private room,False,True,2.0,False,0,0,9.0,91.0,1,3.801739004322215,0.28138461782569923,73.6689084143958,11.228658858644717,105.43898986797096,22.30768518816064,13.47096,52.51527,1
4,150.74319902776475,Private room,False,True,2.0,False,0,0,10.0,99.0,1,8.869697201153345,2.1871882566567384,39.86015115083815,6.0774690286750905,50.996308153377115,10.515089572050329,13.5244,52.47841999999999,0
4,207.7685332336169,Private room,False,True,3.0,True,0,0,10.0,97.0,1,0.9824047093695342,0.7055787574609499,133.18739518941882,20.30050203053152,198.23324100864812,41.9401280284173,13.42281,52.53139,1
5,139.29139010937644,Private room,False,True,2.0,False,1,0,8.0,87.0,1,3.544664561505696,0.3665524981834604,103.48108233549908,15.777739290748988,148.4580494254318,30.611033306671104,13.427270000000002,52.49224,0
5,162.42871833224268,Private room,False,True,2.0,False,0,0,10.0,99.0,1,8.869690231965182,2.187176671012937,39.860174922811105,6.075511581310319,50.99635074914056,10.789277663617089,13.5244,52.47841999999999,1
6,417.40674955595017,Entire home/apt,False,False,6.0,True,0,0,10.0,97.0,2,3.838823653766812,0.2984301208001406,210.9533840533192,32.164018977918275,198.13289134427444,40.85364558917376,13.37279,52.50157,0
6,521.8752921379827,Private room,False,True,3.0,False,0,0,10.0,96.0,1,1.269741130297569,0.13827163355662972,129.42006242702513,19.72628292906255,169.00082109162682,35.75543656263612,13.43282,52.51778,1
7,155.41740674955594,Private room,False,True,2.0,False,0,0,10.0,98.0,1,3.1117203260635224,0.4790560471527261,88.81558796343737,13.537324768837072,160.6964804258752,33.998490507872184,13.458620000000002,52.51229,1
7,135.55202393194352,Private room,False,True,2.0,True,0,0,10.0,96.0,1,3.7314525410538897,0.9366748744194608,95.33370885328476,14.535510935521964,126.47633626086993,26.07855455983109,13.43842,52.49265,0
8,171.77713377582498,Private room,False,True,2.0,False,0,1,9.0,78.0,1,2.5490725325781343,0.061467894842577586,411.52877163338854,62.72546026059269,309.6509924750648,65.51273743218545,13.384,52.512,1
8,260.8207908759465,Private room,False,True,2.0,True,1,0,10.0,100.0,1,9.113951206307853,0.3833456761694503,62.73518712589336,9.56522104803248,101.6440961037706,20.958316664545862,13.285,52.507,0
9,147.2375432364214,Private room,False,True,2.0,True,0,0,10.0,96.0,1,3.7314621673575936,0.9366709190147854,95.33342128624993,14.530776802464153,126.47578391641429,26.75843134561598,13.43842,52.49265,1
9,191.17509582125828,Entire home/apt,False,False,3.0,True,1,0,10.0,98.0,1,13.62054945396812,5.5140044408260716,26.96359864185215,4.1111343262941045,35.68835644269832,7.358694742089504,13.58363,52.45568000000001,0
10,202.86061512573616,Entire home/apt,False,False,3.0,True,1,0,10.0,97.0,1,13.620549532544755,5.514003265471689,26.963597733624464,4.109807611774398,35.6883532255689,7.550570710481602,13.58363,52.45568000000001,1
10,235.58006917827427,Entire home/apt,False,False,2.0,True,0,0,10.0,94.0,1,2.576319513314146,0.4603702995506441,202.90096235631782,30.936267901808073,154.1409480351886,31.78280808947988,13.43777,52.50422,0
11,95.12012713845004,Private room,False,True,2.0,False,0,1,9.0,90.0,1,3.556289670442168,0.187019331668555,77.18810591936536,11.768854596959331,114.04575748156412,23.51545432709056,13.46714,52.51507,0
11,301.48639805552955,Entire home/apt,False,False,4.0,False,0,0,9.0,94.0,1,2.1647781448193,0.26470174023291343,154.92324068998067,23.613492536066467,198.52493305845374,42.00184119948525,13.41468,52.504,1
12,229.73730952603526,Private room,False,True,3.0,False,0,0,10.0,98.0,1,9.974867072500617,0.5002907750331211,52.85909200025981,8.059414860214629,75.50431907745345,15.568473619467582,13.30886,52.46245,0
12,375.57259044591933,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,6.998036822179255,0.19796182327951928,93.64721786569523,14.273764673694938,193.01096556470853,40.835253287914355,13.32388,52.49587,1
