Id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends
0,156.87466392350314,Private room,False,True,2.0,True,1,0,10.0,95.0,1,2.9784678342698663,1.5957331117809848,281.1639316027026,6.230648241688873,697.7272461851815,15.191486355849275,12.48654,41.92498,0
0,172.77254342692817,Private room,False,True,2.0,False,0,0,10.0,93.0,1,1.222582408111646,0.39776045766309454,550.0784352403812,12.187231595963338,1075.4121066160792,23.430620865404567,12.50181,41.88987,1
1,156.87466392350314,Private room,False,True,2.0,True,1,0,10.0,95.0,1,2.9784816692315847,1.5957422107357822,281.16275554888824,6.229285495505972,697.7250336366233,15.201735809803028,12.48654,41.92498,1
1,172.77254342692817,Private room,False,True,2.0,False,1,0,9.0,80.0,1,0.9353708955406698,0.6492693219576785,482.70719266984605,10.696886702768095,1251.5243333724472,27.249207965421558,12.49627,41.90801,0
2,277.7453066186613,Entire home/apt,False,False,4.0,False,0,1,9.0,90.0,1,2.2030249954094465,0.4946970461885232,691.708997772094,15.328407972395999,1625.897266082468,35.400360626233834,12.477,41.907,0
2,195.91798564515,Private room,False,True,2.0,False,1,0,9.0,80.0,1,0.935378797718482,0.649272520411355,482.70805884193635,10.694611039921597,1251.5142485274496,27.267459315823857,12.49627,41.90801,1
3,444.906833750263,Entire home/apt,False,False,6.0,False,1,0,9.0,92.0,2,2.7030096252083085,1.2951526436335408,805.5926414483329,17.85209200321661,2035.8195329080447,44.32552236742629,12.46969,41.90019,0
3,298.55282538049704,Entire home/apt,False,False,4.0,False,0,1,9.0,90.0,1,2.2030228452075944,0.4946992315108635,691.7164214130572,15.325283971199473,1625.9112968801742,35.42466271637192,12.477,41.907,1
4,131.3912982488953,Private room,False,True,3.0,False,1,0,9.0,91.0,1,1.2959835356246887,0.8674725010227758,317.07409208585665,7.024917076855563,836.6160708237587,18.22783456200571,12.51544,41.89463,1
4,131.3912982488953,Private room,False,True,3.0,False,1,0,9.0,91.0,1,1.2959681012415458,0.8674554824467151,317.07636902056163,7.026474945977973,836.6228143812443,18.215633887244962,12.51544,41.89463,0
5,395.342856474879,Entire home/apt,False,False,6.0,False,1,0,9.0,90.0,2,1.6968786024667608,0.3475711181291776,1026.3903025918041,22.740132177824613,2271.195959406476,49.48385005943568,12.48208,41.90339,1
5,182.12423725247237,Entire home/apt,False,False,4.0,False,1,0,9.0,89.0,2,1.2855137046135825,0.8651801001474569,317.9860250319345,7.046633102806608,840.4690828302437,18.299377979199765,12.51535,41.8947,0
6,117.59754985621771,Private room,False,True,2.0,False,0,1,9.0,90.0,1,1.8833196153382687,0.20303254210991248,245.9793774238021,5.450951573699664,700.3106447201859,15.247734214609007,12.51798,41.91309,0
6,182.12423725247237,Entire home/apt,False,False,4.0,False,1,0,9.0,89.0,2,1.2855044368790038,0.8651764002436325,317.98695352651686,7.045141926767175,840.4727788317084,18.311862873168387,12.51535,41.8947,1
7,184.46216070885842,Entire home/apt,False,False,3.0,False,0,0,9.0,92.0,1,4.2393631954415945,0.508939493230883,384.6786065098727,8.524553877176706,968.6400797802953,21.090021403300085,12.45359,41.9125,0
7,117.59754985621771,Private room,False,True,2.0,False,0,1,9.0,90.0,1,1.883316653175365,0.20304142749752752,245.9797638067791,5.449790715979532,700.3084502053282,15.258022189495367,12.51798,41.91309,1
8,265.1205199541767,Entire home/apt,False,False,4.0,False,0,1,10.0,94.0,1,2.5679603711210865,1.47302032097202,839.5064812749042,18.599638266383806,2764.040964975944,60.221747094315255,12.472,41.896,1
8,147.522970097959,Private room,False,True,2.0,True,0,0,9.0,94.0,1,3.3800544736596296,0.6059212989102842,599.657457875431,13.288527672200393,1467.7021920169955,31.95600852106985,12.46183,41.90463,0
9,186.56629181960582,Entire home/apt,False,False,2.0,False,0,1,10.0,96.0,0,5.68416007329823,0.9898261543607078,242.61205040585213,5.376330942084553,560.589073478466,12.205602271587447,12.43471,41.9094,0
9,184.46216070885842,Entire home/apt,False,False,3.0,False,0,0,9.0,92.0,1,4.239377672466045,0.5089538682489163,384.67600243242777,8.522667370162702,968.6366980988327,21.10424374976229,12.45359,41.9125,1
10,158.97879503425057,Private room,False,True,2.0,True,0,0,9.0,94.0,1,3.3800430503366985,0.6058982396836081,599.6482209906567,13.285472174758056,1467.7216189295887,31.978093400220608,12.46183,41.90463,1
10,184.46216070885842,Entire home/apt,False,False,2.0,False,1,0,9.0,86.0,1,4.580433885254632,0.5534837247600247,396.85057234855066,8.794287043583767,794.8462616656781,17.306040727392194,12.44711,41.89905,0
11,186.56629181960582,Entire home/apt,False,False,2.0,False,0,1,10.0,96.0,0,5.684149366098376,0.9898188321178112,242.6128974583998,5.375196299417058,560.5906898576786,12.213911145246234,12.43471,41.9094,1
11,179.78631379608632,Entire home/apt,False,False,4.0,False,1,0,9.0,91.0,1,0.9693584565010464,0.6901130957690702,443.5155949805692,9.82839315937605,1242.2227017436699,27.046685259380922,12.498,41.909,0
12,184.46216070885842,Entire home/apt,False,False,2.0,False,1,0,9.0,86.0,1,4.580446718482909,0.5534638041971581,396.8489834414168,8.792365160996809,794.8428127577794,17.317696610205545,12.44711,41.89905,1
12,101.23208566151544,Private room,False,True,4.0,False,1,0,9.0,92.0,1,4.3237925913861694,0.4228599599588447,450.8246603347038,9.990363490839043,983.8799284834676,21.421835812018198,12.45154,41.90982,0
