Id,realSum,room_type,host_is_superhost,cleanliness_rating,bedrooms,lng,lat,weekends,Ciudad
208,516.0171537037471,Entire home/apt,False,9.0,2,4.87977,52.36623,0,amsterdam
210,1352.143041267312,Entire home/apt,False,9.0,2,4.88411,52.37299,1,amsterdam
211,583.9758160897992,Entire home/apt,False,10.0,2,4.94575,52.32125,1,amsterdam
211,685.9138096688773,Entire home/apt,True,10.0,2,4.919,52.353,0,amsterdam
212,823.4715159468517,Entire home/apt,False,10.0,2,4.93679,52.3566,0,amsterdam
216,645.3729524523704,Entire home/apt,False,10.0,2,4.98045,52.30713,1,amsterdam
220,688.0228716049962,Private room,False,10.0,2,4.8754800000000005,52.36917,0,amsterdam
222,582.8041150141777,Private room,True,10.0,2,4.83556,52.37426,1,amsterdam
223,491.64577133081815,Entire home/apt,False,10.0,2,4.89156,52.34573,1,amsterdam
224,626.625735242425,Entire home/apt,True,10.0,2,4.8273,52.35819,1,amsterdam
225,1126.942094532843,Entire home/apt,False,8.0,2,4.85516,52.38487,0,amsterdam
227,522.3443395121037,Private room,False,10.0,2,4.860530000000001,52.35945,0,amsterdam
232,1351.9087010521878,Entire home/apt,False,9.0,2,4.88411,52.37299,0,amsterdam
233,583.9758160897992,Entire home/apt,False,10.0,2,4.94575,52.32125,0,amsterdam
238,522.3443395121037,Entire home/apt,False,10.0,2,4.98045,52.30713,0,amsterdam
243,498.910317999672,Private room,True,10.0,2,4.83556,52.37426,0,amsterdam
244,491.64577133081815,Entire home/apt,False,10.0,2,4.89156,52.34573,0,amsterdam
244,516.0171537037471,Entire home/apt,True,10.0,2,4.78951,52.37887,1,amsterdam
247,491.64577133081815,Entire home/apt,False,9.0,2,4.98537,52.3664,1,amsterdam
249,669.7443348252995,Entire home/apt,False,9.0,2,4.86204,52.36122,0,amsterdam
250,354.0880650528438,Private room,True,10.0,2,4.80439,52.3341,1,amsterdam
251,473.3672345511214,Entire home/apt,False,9.0,2,4.85801,52.37675,1,amsterdam
252,1038.361493215851,Entire home/apt,False,9.0,2,4.89572,52.37252,0,amsterdam
257,1044.6886790242074,Entire home/apt,True,9.0,2,4.89285,52.35761,1,amsterdam
263,474.0702551964943,Entire home/apt,False,10.0,2,4.78534,52.35955,1,amsterdam
265,1112.4130011951352,Entire home/apt,False,9.0,2,4.88732,52.38089,1,amsterdam
267,1170.0606941157173,Entire home/apt,False,9.0,2,4.90024,52.35258,1,amsterdam
273,860.2629297213696,Entire home/apt,False,10.0,2,4.874969999999999,52.36393,1,amsterdam
274,415.2508612002906,Entire home/apt,True,10.0,2,4.78951,52.37887,0,amsterdam
277,552.808567478265,Entire home/apt,False,9.0,2,4.98537,52.3664,0,amsterdam
278,688.0228716049962,Entire home/apt,False,8.0,2,4.8808,52.32989,1,amsterdam
280,347.9952194596115,Private room,True,10.0,2,4.80439,52.3341,0,amsterdam
281,485.5529257375859,Entire home/apt,False,9.0,2,4.85801,52.37675,0,amsterdam
289,1751.458767839149,Entire home/apt,True,10.0,2,4.894,52.354,1,amsterdam
289,1044.6886790242074,Entire home/apt,True,9.0,2,4.89285,52.35761,0,amsterdam
291,1278.325873503152,Entire home/apt,True,10.0,2,4.88897,52.35641,1,amsterdam
